Date/Time	City	State	Shape	Duration	Summary	Posted	Month	Day	Date	Time	Periods	Duration_Sec	US_STATE	Lat	Long
9/27/15 21:08	Naperville	IL	Light	4 minutes	Mysterious single light south of N'ville zipping very fast up, down, sideways, angling upwards, then downwards blinking at times.	9/29/15	9	27	9/27/15	21:08	11	240.0	1	41.785858314	-88.147288059
9/27/15 21:00	Norwalk	CA	Other	30 minutes	V formation cloud in the night sky that moved and kept it's shape.	9/29/15	9	27	9/27/15	21:00	11	1800.0	1	33.902238389	-118.08172774
9/27/15 21:00	Littleton	CO	Formation	~15 seconds	Sitting outside watching the full blood moon cycle, very faintly saw a v shaped formation pass just under the moon east to west. It was	9/29/15	9	27	9/27/15	21:00	11	15.0	1	39.6133161	-105.016646608
9/27/15 21:00	Pittsburgh	PA	Fireball	30 seconds	Fireball came in from east and made sharp turn north.	9/29/15	9	27	9/27/15	21:00	11	30.0	1	40.440617187	-79.995887897
9/27/15 21:00	Collinsville	CT	Circle	~2 minutes	2 Orange Orbs in sky night of the Supermoon approx. 9 pm EST.	10/9/15	9	27	9/27/15	21:00	11	120.0	1	41.812878416	-72.920099287
9/27/15 21:00	Centennial	CO	Formation	1 hour	Blood moon ufo sightings centennial.	10/16/15	9	27	9/27/15	21:00	11	3600.0	1	39.579159631	-104.876916007
9/27/15 21:00	Wichita	KS		5 seconds	The light moved in a straight line, as it moved it got brighter then dimmer until it disappeared	9/29/15	9	27	9/27/15	21:00	11	5.0	1	37.692238573	-97.337538036
9/27/15 20:56	Great Falls	MT	Other	One frame	Strange lights seen under super moon eclipse photo.	9/29/15	9	27	9/27/15	20:56	11	877.0	1	47.500238732	-111.300806965
9/27/15 20:45	Oceanside	CA	Light	30 seconds	The light cross the sky in about one minute.  The speed of that was unreal.	9/29/15	9	27	9/27/15	20:45	11	30.0	1	33.195868571	-117.379479556
9/27/15 20:40	Mountain Home	ID	Circle	5 minutes	orange lights towards boise idaho.	9/29/15	9	27	9/27/15	20:40	11	300.0	1	43.132948776	-115.691197871
9/27/15 20:30	San Clemente	CA	Formation	25-40 minutes	Mysterious formation over South Orange County Skies.	9/29/15	9	27	9/27/15	20:30	11	2400.0	1	33.426968064	-117.611987424
